Ride,Date/Time,Wait Time
TRON Lightcycle / Run,2023-03-21 08:53:26,17
TRON Lightcycle / Run,2023-03-21 08:55:17,17
TRON Lightcycle / Run,2023-03-21 08:58:26,18
TRON Lightcycle / Run,2023-03-21 09:00:16,19
TRON Lightcycle / Run,2023-03-21 09:03:26,20
TRON Lightcycle / Run,2023-03-21 09:05:16,21
TRON Lightcycle / Run,2023-03-21 09:08:26,22
TRON Lightcycle / Run,2023-03-21 09:10:16,22
TRON Lightcycle / Run,2023-03-21 09:14:26,23
TRON Lightcycle / Run,2023-03-21 09:15:17,23
TRON Lightcycle / Run,2023-03-21 09:18:26,24
TRON Lightcycle / Run,2023-03-21 09:20:17,25
TRON Lightcycle / Run,2023-03-21 09:23:26,25
TRON Lightcycle / Run,2023-03-21 09:25:17,26
TRON Lightcycle / Run,2023-03-21 09:28:26,27
TRON Lightcycle / Run,2023-03-21 09:30:16,27
TRON Lightcycle / Run,2023-03-21 09:33:26,28
TRON Lightcycle / Run,2023-03-21 09:35:16,28
TRON Lightcycle / Run,2023-03-21 09:38:26,29
TRON Lightcycle / Run,2023-03-21 09:40:16,30
TRON Lightcycle / Run,2023-03-21 09:43:27,30
TRON Lightcycle / Run,2023-03-21 09:45:16,31
TRON Lightcycle / Run,2023-03-21 09:48:26,32
TRON Lightcycle / Run,2023-03-21 09:50:16,32
TRON Lightcycle / Run,2023-03-21 09:53:27,32
TRON Lightcycle / Run,2023-03-21 09:55:17,32
TRON Lightcycle / Run,2023-03-21 09:58:26,33
TRON Lightcycle / Run,2023-03-21 10:00:17,34
TRON Lightcycle / Run,2023-03-21 10:03:26,34
TRON Lightcycle / Run,2023-03-21 10:05:17,35
TRON Lightcycle / Run,2023-03-21 10:08:26,36
TRON Lightcycle / Run,2023-03-21 10:10:16,36
TRON Lightcycle / Run,2023-03-21 10:14:26,36
TRON Lightcycle / Run,2023-03-21 10:15:16,36
TRON Lightcycle / Run,2023-03-21 10:18:26,37
TRON Lightcycle / Run,2023-03-21 10:20:16,38
TRON Lightcycle / Run,2023-03-21 10:23:26,38
TRON Lightcycle / Run,2023-03-21 10:25:16,39
TRON Lightcycle / Run,2023-03-21 10:28:26,40
TRON Lightcycle / Run,2023-03-21 10:30:17,40
TRON Lightcycle / Run,2023-03-21 10:33:26,41
TRON Lightcycle / Run,2023-03-21 10:35:16,41
TRON Lightcycle / Run,2023-03-21 10:38:27,41
TRON Lightcycle / Run,2023-03-21 10:40:17,42
TRON Lightcycle / Run,2023-03-21 10:43:26,42
TRON Lightcycle / Run,2023-03-21 10:45:16,42
TRON Lightcycle / Run,2023-03-21 10:48:26,42
TRON Lightcycle / Run,2023-03-21 10:50:17,43
TRON Lightcycle / Run,2023-03-21 10:53:26,43
TRON Lightcycle / Run,2023-03-21 10:55:16,43
TRON Lightcycle / Run,2023-03-21 10:58:27,43
TRON Lightcycle / Run,2023-03-21 11:00:16,44
TRON Lightcycle / Run,2023-03-21 11:03:26,44
TRON Lightcycle / Run,2023-03-21 11:05:16,45
